Date,Open,High,Low,Close,Volume,Adj Close
06-12-2016,483.25,489.350006,481.350006,483.475006,224978,420.705994
07-12-2016,483.600006,486.299988,480.450012,483.299988,246150,420.55365
08-12-2016,483.299988,493.899994,483.299988,492.375,171652,428.45047
09-12-2016,493.25,503.524994,491.5,493.674988,380888,429.581757
12-12-2016,490.5,490.75,482.725006,488.75,367306,425.296173
13-12-2016,488.5,495.924988,486.75,495.024994,235684,430.756439
14-12-2016,495.774994,502,492,499.524994,662176,434.672241
15-12-2016,498.950012,509.450012,495,496.625,518290,432.148743
16-12-2016,499.600006,504.5,499,502.100006,225466,436.912872
19-12-2016,502.5,503.024994,497.100006,501.100006,160082,436.042725
20-12-2016,499,509.475006,499,505.200012,258020,439.610443
21-12-2016,507.5,510.475006,500.524994,501.850006,235178,436.695374
22-12-2016,501.450012,503.450012,485.100006,492.600006,697086,428.646271
23-12-2016,490.674988,503.299988,487.5,494.649994,309358,430.430115
26-12-2016,494.5,496.924988,488,491.5,215496,427.689117
27-12-2016,491.549988,501.450012,491.125,499.625,265036,434.759216
28-12-2016,499.75,504.875,497.600006,499.575012,904866,434.715729
29-12-2016,500,503.725006,493.200012,497.049988,330410,432.518555
30-12-2016,497.625,506,496.5,505.350006,435362,439.740997
02-01-2017,506,506.549988,500,500.799988,149166,435.781677
03-01-2017,501.174988,502.950012,490.399994,497.325012,836682,432.757904
04-01-2017,497.299988,501.649994,496.850006,499.149994,285694,434.345917
05-01-2017,499.5,504.5,494.549988,498.200012,1041350,433.519257
06-01-2017,496.5,499.475006,484.225006,485.725006,1775486,422.663818
09-01-2017,487,488.424988,482.5,485.274994,514348,422.272278
10-01-2017,488.125,490.475006,484,485.299988,915238,422.294006
11-01-2017,489,489,482,484.5,386514,421.59787
12-01-2017,486.125,502.200012,486.125,500.024994,523522,435.10733
13-01-2017,513.174988,522.5,482,487.575012,2533116,424.273682
16-01-2017,482.5,482.75,476.25,477.850006,549810,415.811279
17-01-2017,479.899994,482.375,477,478.024994,422168,415.963531
18-01-2017,479,480.5,475,475.450012,322052,413.72287
19-01-2017,475.5,480.149994,474.799988,479.274994,569266,417.05127
20-01-2017,476.5,477.5,473,474.399994,442096,412.809174
23-01-2017,473.5,478.75,469.75,475.875,354426,414.092682
24-01-2017,476.424988,476.5,470.075012,472.549988,251256,411.199341
25-01-2017,474.375,475,467.5,468.325012,445980,407.522888
27-01-2017,467.5,474,463.200012,471.075012,638822,409.915863
30-01-2017,469.350006,475.950012,464.825012,474.174988,984710,412.613403
31-01-2017,471.950012,473.5,452.5,464.649994,1741710,404.324982
01-02-2017,460.950012,461.600006,453,458.274994,668214,398.777679
02-02-2017,458,472.600006,455.5,467.674988,914706,406.957245
03-02-2017,467,470.350006,460.75,467.475006,676650,406.783234
06-02-2017,469.5,470.825012,465.5,467.225006,413250,406.565704
07-02-2017,467.450012,474.700012,464.524994,472.375,508904,411.047089
08-02-2017,470,471.975006,466.174988,468.225006,378678,407.435883
09-02-2017,468,474.950012,468,474.049988,661350,412.504608
10-02-2017,472.5,485.899994,472,484.024994,2370062,421.18457
13-02-2017,487.5,492.5,481.549988,491.75,946460,427.906616
14-02-2017,491.274994,494.25,486.350006,493.649994,1006810,429.559998
15-02-2017,491.075012,499,484.950012,491.174988,589518,427.406311
16-02-2017,496,507.399994,495,505.950012,748136,440.263092
17-02-2017,505.950012,506.024994,496.700012,499.850006,315124,434.955048
20-02-2017,499.450012,514.049988,496.75,505.850006,268084,440.176056
21-02-2017,510,512.400024,500.049988,506.475006,527326,440.719879
22-02-2017,506.350006,507.5,494.125,495.924988,328246,431.539581
23-02-2017,495.5,509.950012,495.5,504.524994,402946,439.023071
27-02-2017,502.75,511.225006,502.75,506.375,307630,440.632904
28-02-2017,505.5,510.924988,504.5,506.149994,161744,440.437073
01-03-2017,507.299988,513.099976,505.899994,512.5,305380,445.962677
02-03-2017,512.5,513.950012,508.049988,510.325012,192436,444.070068
03-03-2017,505.049988,517.125,500.25,515.575012,372816,448.638428
06-03-2017,509.899994,517.950012,509,516.924988,310080,449.813171
07-03-2017,512,512.75,507.5,509.850006,238932,443.656738
08-03-2017,510,510,502.125,503.625,225212,438.239929
09-03-2017,503.625,506.5,499.5,505.799988,184560,440.132568
10-03-2017,505.850006,513.75,505.850006,510.049988,339350,443.830719
